PID    COMMAND %CPU TIME     #TH #WQ #PORTS MEM PURG CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID FAULTS COW MSGSENT MSGRECV SYSBSD SYSMACH CSW PAGEINS IDLEW POWER INSTRS CYCLES JETPRI  USER                 #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
15364  node    95.6  00:38.94 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4617+  131  1004+   500+    7569+  748+    27223+ 130     6     95.6  16383581787 2588072447 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.1  00:40.01 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4619+  131  1031+   513+    7616+  761+    27792+ 130     6     99.1  16706798258 2627907751 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.1  00:41.09 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4630+  131  1057+   526+    7669+  774+    28413+ 130     6     99.1  16559992588 2628249049 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.4  00:42.16 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4631+  131  1083+   539+    7718+  787+    29365+ 130     6     98.4  16555108773 2616755826 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:43.26 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4639+  131  1109+   552+    7777+  800+    30037+ 130     6     98.9  17068592812 2689593031 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.6  00:44.33 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4640+  131  1135+   565+    7816+  813+    30849+ 130     6     98.6  16539390468 2616608321 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.1  00:45.42 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4652+  131  1161+   578+    7898+  826+    31508+ 130     6     99.1  16821073940 2655768756 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:46.49 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4653+  131  1189+   592+    7948+  840+    32060+ 130     6     99.0  16668540447 2622677369 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:47.56 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4664+  131  1215+   605+    8016+  853+    32594+ 130     6     99.0  16695190977 2624192091 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.9  00:48.64 11/1 0   27     31M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4666+  131  1241+   618+    8064+  866+    33244+ 130     6     98.9  16632618443 2627764995 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
